Quantity,Axis,Unit,MeanError,RMSE,MAE,P95AbsoluteError,MaximumError
Position,N,m,-0.0541703210359809,0.159852632661774,0.132618320935852,0.295408582798013,0.434091544277977
Position,E,m,-0.0240685644792832,0.301321852726552,0.247004775572026,0.593533135531435,0.787897711686441
Position,D,m,-0.0324951808237285,0.0715942067997986,0.0578482487086445,0.147680476555243,0.221021952278338
Velocity,N,m/s,-0.00506686131447765,0.0592023134681288,0.0478024438520136,0.103444240215011,0.13183677835882
Velocity,E,m/s,-0.0201745783673712,0.0610626485003982,0.0498168331005006,0.114923157656117,0.142981818632197
Velocity,D,m/s,0.00202640283066889,0.0239290506523666,0.0179077139556499,0.0477463036756997,0.100557480416182
Attitude,Roll,deg,-0.0312603327167628,0.0435803141680057,0.0368779654665911,0.0765682609429738,0.109736640609369
Attitude,Pitch,deg,-0.0247669213725297,0.059649366197762,0.0501312302657234,0.107659193808666,0.146901001666639
Attitude,Yaw,deg,-0.00479863045034224,0.0402954658075904,0.0320272326451087,0.0811147463883163,0.0992872098814182
Angular Rate,p,rad/s,-6.88097438707821e-05,0.00364544003880247,0.00291323315122144,0.00711680159304567,0.0155437784626871
Angular Rate,q,rad/s,-2.46354226256456e-05,0.00356064011222712,0.00283691856339301,0.00697603397656598,0.0146751263065036
Angular Rate,r,rad/s,-5.05985882183043e-05,0.0036386139523658,0.00290560975513188,0.00710536033141997,0.0140825096328682
Acceleration,N,m/s^2,0.00694135428051295,0.0468661533189955,0.0374118858264271,0.0919183594486287,0.20008748282235
Acceleration,E,m/s^2,-0.0097050561874896,0.0478653466909516,0.0380704442417777,0.0945762831543956,0.18901182570378
Acceleration,D,m/s^2,-0.0370875600890642,0.0592141537008423,0.0479611713299741,0.114964450252457,0.218820989200129
