Quantity,Unit,RMSE,MAE,P95Error,MaximumError
Position,m,0.348530419829825,0.314938531029348,0.618031796720059,0.843213651968828
Velocity,m/s,0.0883524783296162,0.0798396552638447,0.146126478020842,0.170886251326884
Attitude,deg,0.0838163699467908,0.0780701364107332,0.132629196624967,0.160078462284128
Angular Rate,rad/s,0.00626154154978679,0.0057755464715706,0.0100360207700503,0.0179779660777767
Acceleration,m/s^2,0.0894082979329872,0.0825253090187995,0.144430673171988,0.227064735483514
