RowType,Level,Controller,Trajectory,Condition,Traj_Cond,RunID,Repeat,RandomizationRank,UniqueKey,Completed,AttemptCount,Status,ExecutionTime_s,SimulatedDuration_s,RTF,StartTimestamp,EndTimestamp,ErrorIdentifier,ErrorMessage,SummaryRepresentative,ExecutionMean_s,ExecutionStd_s,ExecutionMedian_s,ExecutionCV_pct,ExecutionCI95Low_s,ExecutionCI95High_s,RTFMean,RTFStd,NormalityP_Log,BrownForsytheP_Log,Comparison_vs_L3,WelchT_t_Log,WelchT_df,WelchT_P_Log,WelchT_P_Log_Holm,RankSumP,RankSumP_Holm,HedgesG_Log,GeometricTimeRatio_vs_L3,TimeRatioCI95Low,TimeRatioCI95High,L3SlowdownFactor,L3SlowdownCI95Low,L3SlowdownCI95High
RAW,L1,C1,T2,NOM,T2/D0,C1_T2_L1_NOM,1,1,L1_T2_NOM_R01,1,1,COMPLETE,4.5218448,130,28.749328150316,2026-09-13 10:40:49.701,2026-09-13 10:40:57.280,,,1,4.53290382,0.0590886955431089,4.5189874,1.30355061323822,4.49063431357844,4.57517332642156,28.6835303390534,0.370162129793339,0.0817589928855732,0.70234411503295,L1_vs_L3,-507.88843422509,17.1180358181785,3.29879625616959e-37,1.97927775370175e-36,0.00018267179110955,0.0014613743288764,-217.537375622816,0.0699765381123769,0.069208079492792,0.0707535293867377,14.2905040314237,14.1335705606149,14.4491800282386
RAW,L1,C1,T1,NOM,T1/D0,C1_T1_L1_NOM,1,2,L1_T1_NOM_R01,1,1,COMPLETE,4.7765766,130,27.2161447175368,2026-09-13 10:40:57.936,2026-09-13 10:41:05.673,,,1,4.60642414,0.112527900255677,4.57254905,2.44284713772963,4.52592652943772,4.68692175056228,28.2364822758735,0.683514312149514,0.381111479930845,0.0053543495986327,L1_vs_L3,-294.172189350967,11.5422066754125,9.96689191184197e-24,9.96689191184197e-24,0.00018267179110955,0.0014613743288764,-125.999022108596,0.0889269866368333,0.0873403883492266,0.0905424065746961,11.2451803194892,11.0445484920374,11.4494567622203
RAW,L1,C1,T2,DIST,T2/D1,C1_T2_L1_DIST,1,3,L1_T2_DIST_R01,1,1,COMPLETE,7.3337793,130,17.7261947329121,2026-09-13 10:41:06.345,2026-09-13 10:41:17.293,,,1,6.96669766,0.140768962114217,6.92465105,2.02059812244266,6.86599761080527,7.06739770919473,18.6668197396919,0.363862047873568,0.0257751585056343,0.970483864483072,L1_vs_L3,-256.984610115906,17.3417362969231,1.68745995358328e-32,6.74983981433312e-32,0.00018267179110955,0.0014613743288764,-110.070940570564,0.0787300343699464,0.0771065833496194,0.0803876665600376,12.7016329664112,12.4397192105726,12.9690612209565
RAW,L1,C1,T1,DIST,T1/D1,C1_T1_L1_DIST,1,4,L1_T1_DIST_R01,1,1,COMPLETE,7.1796,130,18.1068583207978,2026-09-13 10:41:17.972,2026-09-13 10:41:28.641,,,1,6.91311521,0.135388202911877,6.8797484,1.95842538131051,6.81626432406003,7.00996609593997,18.8112537131267,0.364158019834713,0.380821009388539,0.00580974195651908,L1_vs_L3,-348.029000681095,11.8062714413417,4.76751393979356e-25,1.21507108642722e-24,0.00018267179110955,0.0014613743288764,-149.066823237095,0.0994719708592174,0.0980425176387541,0.100922265410143,10.0530832088901,9.90861625961374,10.1996564764339
RAW,L1,C1,T1,DIST,T1/D1,C1_T1_L1_DIST,2,1,L1_T1_DIST_R02,1,1,COMPLETE,6.9259803,130,18.7699061171167,2026-09-13 10:41:29.337,2026-09-13 10:41:38.995,,,0,6.91311521,0.135388202911877,6.8797484,1.95842538131051,6.81626432406003,7.00996609593997,18.8112537131267,0.364158019834713,0.380821009388539,0.00580974195651908,L1_vs_L3,-348.029000681095,11.8062714413417,4.76751393979356e-25,1.21507108642722e-24,0.00018267179110955,0.0014613743288764,-149.066823237095,0.0994719708592174,0.0980425176387541,0.100922265410143,10.0530832088901,9.90861625961374,10.1996564764339
RAW,L1,C1,T2,DIST,T2/D1,C1_T2_L1_DIST,2,2,L1_T2_DIST_R02,1,1,COMPLETE,6.9264841,130,18.7685408820905,2026-09-13 10:41:39.636,2026-09-13 10:41:49.185,,,0,6.96669766,0.140768962114217,6.92465105,2.02059812244266,6.86599761080527,7.06739770919473,18.6668197396919,0.363862047873568,0.0257751585056343,0.970483864483072,L1_vs_L3,-256.984610115906,17.3417362969231,1.68745995358328e-32,6.74983981433312e-32,0.00018267179110955,0.0014613743288764,-110.070940570564,0.0787300343699464,0.0771065833496194,0.0803876665600376,12.7016329664112,12.4397192105726,12.9690612209565
RAW,L1,C1,T1,NOM,T1/D0,C1_T1_L1_NOM,2,3,L1_T1_NOM_R02,1,1,COMPLETE,4.6876826,130,27.7322530326605,2026-09-13 10:41:49.826,2026-09-13 10:41:57.060,,,0,4.60642414,0.112527900255677,4.57254905,2.44284713772963,4.52592652943772,4.68692175056228,28.2364822758735,0.683514312149514,0.381111479930845,0.0053543495986327,L1_vs_L3,-294.172189350967,11.5422066754125,9.96689191184197e-24,9.96689191184197e-24,0.00018267179110955,0.0014613743288764,-125.999022108596,0.0889269866368333,0.0873403883492266,0.0905424065746961,11.2451803194892,11.0445484920374,11.4494567622203
RAW,L1,C1,T2,NOM,T2/D0,C1_T2_L1_NOM,2,4,L1_T2_NOM_R02,1,1,COMPLETE,4.6176998,130,28.1525446933558,2026-09-13 10:41:57.706,2026-09-13 10:42:04.850,,,0,4.53290382,0.0590886955431089,4.5189874,1.30355061323822,4.49063431357844,4.57517332642156,28.6835303390534,0.370162129793339,0.0817589928855732,0.70234411503295,L1_vs_L3,-507.88843422509,17.1180358181785,3.29879625616959e-37,1.97927775370175e-36,0.00018267179110955,0.0014613743288764,-217.537375622816,0.0699765381123769,0.069208079492792,0.0707535293867377,14.2905040314237,14.1335705606149,14.4491800282386
RAW,L1,C1,T2,NOM,T2/D0,C1_T2_L1_NOM,3,1,L1_T2_NOM_R03,1,1,COMPLETE,4.6425665,130,28.0017529097322,2026-09-13 10:42:05.497,2026-09-13 10:42:12.681,,,0,4.53290382,0.0590886955431089,4.5189874,1.30355061323822,4.49063431357844,4.57517332642156,28.6835303390534,0.370162129793339,0.0817589928855732,0.70234411503295,L1_vs_L3,-507.88843422509,17.1180358181785,3.29879625616959e-37,1.97927775370175e-36,0.00018267179110955,0.0014613743288764,-217.537375622816,0.0699765381123769,0.069208079492792,0.0707535293867377,14.2905040314237,14.1335705606149,14.4491800282386
RAW,L1,C1,T1,NOM,T1/D0,C1_T1_L1_NOM,3,2,L1_T1_NOM_R03,1,1,COMPLETE,4.7689761,130,27.259520130537,2026-09-13 10:42:13.321,2026-09-13 10:42:20.634,,,0,4.60642414,0.112527900255677,4.57254905,2.44284713772963,4.52592652943772,4.68692175056228,28.2364822758735,0.683514312149514,0.381111479930845,0.0053543495986327,L1_vs_L3,-294.172189350967,11.5422066754125,9.96689191184197e-24,9.96689191184197e-24,0.00018267179110955,0.0014613743288764,-125.999022108596,0.0889269866368333,0.0873403883492266,0.0905424065746961,11.2451803194892,11.0445484920374,11.4494567622203
