Quantity,Unit,RMSE,MAE,P95Error,MaximumError
Position,m,0.350039875326572,0.316700929141283,0.614902289129976,0.836807931714622
Velocity,m/s,0.0878561461989483,0.0792986088094369,0.147093385779937,0.169772576324162
Attitude,deg,0.084601345192744,0.0787789671732732,0.136081800617866,0.160812911717864
Angular Rate,rad/s,0.00626314002859466,0.00577655740152628,0.0100334849917858,0.0178212823797729
Acceleration,m/s^2,0.0892809158253985,0.0823965000568494,0.144227582650877,0.227246599851411
