Mission,TrajectoryID,TrajectoryName,PointIndex,Waypoint,MovePhase,HoldPhase,TargetNorth_m,TargetEast_m,TargetDown_m,SegmentStartTime_s,ArrivalTime_s,TimeToWaypoint_s,ArrivalError3D_m,ArrivalErrorHorizontal_m,ArrivalErrorVertical_m,HoldRMSE_m,HoldMaxError_m,HoldStabilityStd_m,Overshoot_m
1,2,High-Dynamics Mission,2,TAKEOFF,1,2,-0.000167701279409994,-6.90528326203531e-07,-3.14763837784917,5,10.835,5.835,0.238474162024089,0.113613890328702,0.209670717739672,0.230406908765839,0.238474162024089,0.00617203545574714,0
1,2,High-Dynamics Mission,6,PRE-LAND,9,10,-0.000167701279409994,-6.90528326203531e-07,-1.64763837784917,36.215,43.205,6.98999999999999,0.226107287206169,0.222232276859075,0.0416811762041864,0.202796807256011,0.226107287206169,0.0277917715667733,0.159936089878405
