Mission,TrajectoryID,TrajectoryName,PointIndex,Waypoint,MovePhase,HoldPhase,TargetNorth_m,TargetEast_m,TargetDown_m,SegmentStartTime_s,ArrivalTime_s,TimeToWaypoint_s,ArrivalError3D_m,ArrivalErrorHorizontal_m,ArrivalErrorVertical_m,HoldRMSE_m,HoldMaxError_m,HoldStabilityStd_m,Overshoot_m
1,1,ICRA Benchmark,2,TAKEOFF,1,2,9.44981702155441e-06,-5.89605611858484e-07,-3.14763837182108,5,12.465,7.465,0.308022818682119,0.133902091945933,0.277395541783534,0.261801418335402,0.308022818682119,0.033469822027018,0
1,1,ICRA Benchmark,3,WP1,3,4,5.00000944981702,-5.89605611858484e-07,-3.14763837182108,14.25,21.47,7.22,0.416692663896405,0.41630833801652,0.0178925639025076,0.374426984494807,0.416692663896405,0.0294026542972184,0
1,1,ICRA Benchmark,4,WP2,5,6,5.00000944981702,-5.89605611858484e-07,-1.64763837182108,22.47,26.975,4.505,0.344467639507104,0.311111111955055,0.147877755885344,0.335864830852406,0.344467639507104,0.0547975754186343,0
1,1,ICRA Benchmark,5,WP3,7,8,5.00000944981702,-5.00000058960561,-1.64763837182108,27.975,38.505,10.53,0.769152148125763,0.768151546306975,0.0392202609970898,0.715905805536812,0.769152148125763,0.0351285610957632,0
1,1,ICRA Benchmark,6,PRE-LAND,9,10,9.44981702155441e-06,-5.89605611858484e-07,-1.64763837182108,39.505,53.455,13.95,0.627714125469187,0.580786855314332,0.23814208365519,0.609261687651264,0.627714125469187,0.0151218134661768,0
