Quantity,Unit,RMSE,MAE,P95Error,MaximumError
Position,m,0.408010853790308,0.381569220413515,0.627285746986745,0.805638647668613
Velocity,m/s,0.0842841097966221,0.074073320608895,0.149213873380959,0.168841485937114
Attitude,deg,0.113340648400475,0.10448076466154,0.180997122949631,0.223790720299491
Angular Rate,rad/s,0.00628265796454977,0.00579017573621821,0.0100612557523124,0.0178126348409408
Acceleration,m/s^2,0.0898407642111664,0.0829387245947877,0.143835898568861,0.231748832392888
