ParameterPath,Label,Stage,BaselineValue,EffectiveValue,Multiplier,Log10Multiplier,Modified
angularRate.pitch.Kp,Angular Rate Pitch Kp,Angular Rate Roll-Pitch,34.026,22.9527460744411,0.674564923130579,-0.170976245546603,1
angularRate.pitch.Ki,Angular Rate Pitch Ki,Angular Rate Roll-Pitch,114.83,22.0677087256894,0.192177207399542,-0.716298121805803,1
