Level,Trajectory,MeanMotorSpeed_rad_s,RMSMotorSpeed_rad_s,PeakMotorSpeed_rad_s,MotorSpeedStd_rad_s,MeanMotorDifferential_rad_s,PeakMotorDifferential_rad_s,MotorVariationRate_rad_s2,ThrustAxisRMS_rad_s,RollAxisRMS_rad_s,PitchAxisRMS_rad_s,YawAxisRMS_rad_s,ThrustSaturationFraction,RollSaturationFraction,PitchSaturationFraction,YawSaturationFraction,TouchdownDetected,StableDetected,LandedArmedDetected,VerticalContactVelocity_m_s,ContactSpeed_m_s,PeakVerticalAcceleration_m_s2,PeakTotalAcceleration_m_s2,GroundPenetration_m,BounceHeight_m,InitializationTime_s,ExecutionTime_s,TerminationTime_s,TotalWallTime_s,RTF,CTF
L1,T1,812.048192479093,813.011709277177,875.961154450543,39.5702408399467,23.2028855130952,95.0875110804399,2877.64924571115,4.75149579632404,4.67947535491059,5.96497034104105,5.93507593415191,0,0.0151831619537275,0.0337403598971722,0,1,1,1,0.107331831939467,0.129341689347896,21.2992251435067,22.6877098990016,3.07648733113008e-05,0.00317466086507784,4.5778023,8.9643944,0.3872596,13.9294563,14.5018162074618,0.06895688
L2,T1,808.453112921849,811.123390283333,877.351564195312,65.7632393200854,17.5362427542312,92.3556565179431,2839.98889242077,4.66762176352241,4.89770714007563,8.02015810278768,5.71813782175087,0,0.0193004569087758,0.0445092169528911,0,1,1,1,0.176030292863989,0.181184921768684,37.6136233517279,38.7461442639462,7.86313865551169e-05,0.00282851653430602,6.0136189,14.2265826,0.6346064,20.8748079,9.13782344327723,0.109435250769231
L3,T1,806.534562518521,810.448695511469,900.519472871003,79.5563787345172,26.6216289011491,153.035952465458,1861.87469340442,10.3716763618453,7.31932526042278,1.50671103477977,7.43143969903818,0,0.0140359517360256,0,0.00016416317819913,1,1,1,0.056800081958493,0.0819308092578792,45.412592191927,47.0268606290138,0.000124832171911837,0.00438414005834634,8.2336573,101.0047791,0.5498425,109.7882789,1.28706781162595,0.776959839230769
L1,T2,808.76120112694,811.317864203299,872.924479025918,64.3588640787667,22.281522466005,92.3556565179431,2839.90513221227,4.0052906105923,4.78243447111813,6.43021643257973,5.2641210076533,0,0.021953114881492,0.0423520269395156,0,1,1,1,0.297192379611635,0.297627513478695,54.7419983302528,59.2923027344339,0.00017438769317657,0.00297029745072436,4.9723271,14.1100618,0.494756,19.5771449,9.21328353076384,0.108538936923077
L2,T2,807.500561923688,810.675773990978,868.630383576198,71.6807925066791,16.9871413461657,92.3556565179431,2813.78031887037,4.39152860360261,4.90220012074967,8.28905789948813,5.09417019388228,0,0.0241617675560437,0.0534918276374443,0,1,1,1,0.317645171290716,0.318228828852023,81.8961524633962,83.8535568860342,0.000448477906728501,0.0026001315349681,5.734795,14.5813829,0.5158927,20.8320706,8.91547810598952,0.112164483846154
L3,T2,504.586072611293,625.621870732168,900.519472871003,369.860768912162,14.8722968268486,69.7980641374747,1070.49120369927,95.0390893785451,13.7812748632286,4.93654704967317,64.4068966531931,0.0185592576296948,0.34370625174993,0.00507979680812768,0.412783488660454,1,0,0,0.305538420859357,0.763405096530305,279.64329196874,288.945648365785,0.295331751035809,0.0028830439346999,9.7295058,119.6889866,0.5022409,129.9207333,1.08614838919523,0.920684512307692
