Quantity,Axis,Unit,MeanError,RMSE,MAE,P95AbsoluteError,MaximumError
Position,N,m,-0.0694636363454878,0.265503885421597,0.197212946339409,0.581707688557272,0.82547680719967
Position,E,m,-0.0649706813626744,0.338413849459526,0.252099933243115,0.753853072541599,0.944484950555277
Position,D,m,-0.0299140735103688,0.0729541007850888,0.0568361627213824,0.155840781541561,0.237981956970783
Velocity,N,m/s,-0.00467820768392278,0.0621024488439635,0.0493874711379624,0.111593487764944,0.136064628726238
Velocity,E,m/s,-0.00194502466210115,0.0536492414908421,0.0419028876689308,0.110112185508259,0.137710100286847
Velocity,D,m/s,-0.00297706106909822,0.0206639983016442,0.0162720552473663,0.0423336092122243,0.0781734821644972
Attitude,Roll,deg,0.0137273971075035,0.0492934691127625,0.0398860930386636,0.098813689295355,0.125920980951717
Attitude,Pitch,deg,0.0217315958343354,0.0500651956571486,0.0401969798537665,0.0994470792266988,0.139245834243298
Attitude,Yaw,deg,-0.0273277517111476,0.0636306526864736,0.0529485982709302,0.112705484392847,0.136832367375976
Angular Rate,p,rad/s,-2.95977067757395e-06,0.00363761372357613,0.00289967680012588,0.00711659439072063,0.0155560883628114
Angular Rate,q,rad/s,5.94697893375023e-06,0.00358979185150906,0.00285907949691826,0.00708243407953576,0.0161405285250229
Angular Rate,r,rad/s,-4.913567701431e-05,0.00363855658044587,0.00291041430607354,0.00711667466406326,0.0141453908327207
Acceleration,N,m/s^2,-0.00273308388861769,0.0468140580963177,0.0373644819339355,0.0922907937905607,0.195068519409961
Acceleration,E,m/s^2,0.000206188236577671,0.0474635538767194,0.0379380702927118,0.0931394516840911,0.18576932326878
Acceleration,D,m/s^2,-0.0360304898748517,0.0586009009886861,0.0474165545006484,0.113299065573419,0.221577462392922
