Mission,TrajectoryID,TrajectoryName,PointIndex,Waypoint,MovePhase,HoldPhase,TargetNorth_m,TargetEast_m,TargetDown_m,SegmentStartTime_s,ArrivalTime_s,TimeToWaypoint_s,ArrivalError3D_m,ArrivalErrorHorizontal_m,ArrivalErrorVertical_m,HoldRMSE_m,HoldMaxError_m,HoldStabilityStd_m,Overshoot_m
1,2,High-Dynamics Mission,2,TAKEOFF,1,2,9.44981702155441e-06,-5.89605611858484e-07,-3.14763837182108,5,12.465,7.465,0.308022818682119,0.133902091945933,0.277395541783534,0.261801418335402,0.308022818682119,0.033469822027018,0
1,2,High-Dynamics Mission,3,WP1,3,4,4.00000944981702,3.99999941039439,-2.14763837182108,14.25,24.34,10.09,0.465019731256037,0.463026495731114,0.0430094723101919,0.469461782996197,0.517865227917041,0.0262099390599301,0
1,2,High-Dynamics Mission,4,WP2,5,6,-3.99999055018298,3.99999941039439,-3.64763837182108,25.34,40.135,14.795,0.626430153146511,0.626420391525929,0.00349712048152329,0.565311429220774,0.626430153146511,0.0286525239048227,0
1,2,High-Dynamics Mission,5,WP3,7,8,4.00000944981702,-4.00000058960561,-2.14763837182108,41.135,60.115,18.98,1.14023707832182,1.13255324021701,0.132150493203112,1.08548301163798,1.14023707832182,0.0343992188134901,0
1,2,High-Dynamics Mission,6,PRE-LAND,9,10,9.44981702155441e-06,-5.89605611858484e-07,-1.64763837182108,61.115,72,10.885,0.160703754146554,0.154630652861708,0.0437613732915001,0.290671709858483,0.401805848485091,0.0793007618870534,0
