Quantity,Unit,RMSE,MAE,P95Error,MaximumError
Position,m,0.436278062136225,0.377321536977057,0.797363397815791,1.02147456295702
Velocity,m/s,0.0846283409430325,0.0743614521710152,0.141433464455048,0.173646208198334
Attitude,deg,0.0948002129313817,0.0874291479814445,0.149213315061795,0.172707578467391
Angular Rate,rad/s,0.0062735901307201,0.00577831392394868,0.0100753958638974,0.0179188413589878
Acceleration,m/s^2,0.0887604111005735,0.0818370932597562,0.143357254902289,0.231067896144828
